q,result,secs,w0_before_kb,w0_after_kb,w1_before_kb,w1_after_kb,driver_after_kb
4,FAIL,241,32420,25935180,32632,24948040,467640
5,PASS,50,32428,1086268,32640,1128576,467768
8,PASS,59,32500,919312,32664,1152100,467840
9,PASS,56,32388,1698748,32632,1447968,404948
10,PASS,55,32400,2816604,32680,2361628,644112
11,FAIL,259,32468,8991992,32660,402944,13625876
12,FAIL,255,32408,32408,32620,32620,13565240
13,FAIL,266,32460,7726124,32520,863256,13625204
14,PASS,34,32500,135800,32680,142900,13601740
15,FAIL,241,32468,25934888,32604,25817428,13497528
16,PASS,182,32100,1313632,32264,209412,9411536
17,FAIL,241,32000,26085648,32156,25806680,9448004
18,FAIL,241,32032,26068500,32264,25672916,9448580
19,PASS,23,32144,146568,32212,151500,9449604
21,FAIL,241,32112,25863316,32260,25893288,9450376
22,FAIL,4,32168,32168,32092,32092,9451724
